source_file,instance,seed,rank,crossover,mutation,best_ga,gap_to_best_known,improvement_vs_seed,initial_best,logged_best,improvement_gen0,final_avg,final_std,n_gen_executed,n_evals,n_unique_schedules,stop_reason
j12056_1_operator_comparison_seed42.csv,j12056_1,42,15,one_point,adjacent_swap,265.0,29.0,8.0,273.0,265.0,8.0,265.0,0.0,100,4603,0,max_generations
j12056_1_operator_comparison_seed42.csv,j12056_1,42,16,one_point,consensus_reorder,267.0,31.0,6.0,273.0,267.0,6.0,267.0,0.0,100,4617,0,max_generations
j12056_5_operator_comparison_seed42.csv,j12056_5,42,1,uniform_order,insertion_window,292.0,13.0,23.0,315.0,292.0,23.0,292.0,0.0,100,4592,0,max_generations
j12056_5_operator_comparison_seed42.csv,j12056_5,42,2,uniform_order,consensus_reorder,293.0,14.0,22.0,315.0,293.0,22.0,293.0,0.0,100,4593,0,max_generations
j12056_5_operator_comparison_seed42.csv,j12056_5,42,3,uniform_order,swap,297.0,18.0,18.0,315.0,297.0,18.0,297.0,0.0,100,4587,0,max_generations
j12056_5_operator_comparison_seed42.csv,j12056_5,42,4,decuple,consensus_reorder,299.0,20.0,16.0,315.0,299.0,16.0,299.0,0.0,100,4559,0,max_generations
j12056_5_operator_comparison_seed42.csv,j12056_5,42,5,decuple,swap,299.0,20.0,16.0,315.0,299.0,16.0,299.0,0.0,100,4641,0,max_generations
j12056_5_operator_comparison_seed42.csv,j12056_5,42,6,uniform_order,adjacent_swap,302.0,23.0,13.0,315.0,302.0,13.0,302.0,0.0,100,4571,0,max_generations
j12056_5_operator_comparison_seed42.csv,j12056_5,42,7,decuple,adjacent_swap,304.0,25.0,11.0,315.0,304.0,11.0,304.0,0.0,100,4573,0,max_generations
j12056_5_operator_comparison_seed42.csv,j12056_5,42,8,two_point,insertion_window,307.0,28.0,8.0,315.0,307.0,8.0,307.0,0.0,100,4595,0,max_generations
j12056_5_operator_comparison_seed42.csv,j12056_5,42,9,decuple,insertion_window,307.0,28.0,8.0,315.0,307.0,8.0,307.0,0.0,100,4622,0,max_generations
j12056_5_operator_comparison_seed42.csv,j12056_5,42,10,two_point,adjacent_swap,308.0,29.0,7.0,315.0,308.0,7.0,308.0,0.0,100,4584,0,max_generations
j12056_5_operator_comparison_seed42.csv,j12056_5,42,11,one_point,insertion_window,310.0,31.0,5.0,315.0,310.0,5.0,310.0,0.0,100,4562,0,max_generations
j12056_5_operator_comparison_seed42.csv,j12056_5,42,12,one_point,swap,310.0,31.0,5.0,315.0,310.0,5.0,310.0,0.0,100,4590,0,max_generations
j12056_5_operator_comparison_seed42.csv,j12056_5,42,13,one_point,adjacent_swap,311.0,32.0,4.0,315.0,311.0,4.0,311.0,0.0,100,4603,0,max_generations
j12056_5_operator_comparison_seed42.csv,j12056_5,42,14,two_point,consensus_reorder,311.0,32.0,4.0,315.0,311.0,4.0,311.0,0.0,100,4603,0,max_generations
j12056_5_operator_comparison_seed42.csv,j12056_5,42,15,one_point,consensus_reorder,311.0,32.0,4.0,315.0,311.0,4.0,311.0,0.0,100,4618,0,max_generations
j12056_5_operator_comparison_seed42.csv,j12056_5,42,16,two_point,swap,312.0,33.0,3.0,315.0,312.0,3.0,312.0,0.0,100,4596,0,max_generations
j12056_7_operator_comparison_seed42.csv,j12056_7,42,1,uniform_order,consensus_reorder,290.0,8.0,30.0,320.0,290.0,30.0,290.0,0.0,100,4585,0,max_generations
j12056_7_operator_comparison_seed42.csv,j12056_7,42,2,uniform_order,adjacent_swap,297.0,15.0,23.0,320.0,297.0,23.0,297.0,0.0,100,4571,0,max_generations
j12056_7_operator_comparison_seed42.csv,j12056_7,42,3,decuple,swap,297.0,15.0,23.0,320.0,297.0,23.0,297.0,0.0,100,4641,0,max_generations
j12056_7_operator_comparison_seed42.csv,j12056_7,42,4,decuple,insertion_window,299.0,17.0,21.0,320.0,299.0,21.0,299.0,0.0,100,4599,0,max_generations
j12056_7_operator_comparison_seed42.csv,j12056_7,42,5,uniform_order,swap,300.0,18.0,20.0,320.0,300.0,20.0,300.0,0.0,100,4587,0,max_generations
j12056_7_operator_comparison_seed42.csv,j12056_7,42,6,decuple,adjacent_swap,302.0,20.0,18.0,320.0,302.0,18.0,302.0,0.0,100,4573,0,max_generations
j12056_7_operator_comparison_seed42.csv,j12056_7,42,7,decuple,consensus_reorder,302.0,20.0,18.0,320.0,302.0,18.0,302.0,0.0,100,4597,0,max_generations
j12056_7_operator_comparison_seed42.csv,j12056_7,42,8,uniform_order,insertion_window,303.0,21.0,17.0,320.0,303.0,17.0,303.0,0.0,100,4601,0,max_generations
j12056_7_operator_comparison_seed42.csv,j12056_7,42,9,one_point,insertion_window,308.0,26.0,12.0,320.0,308.0,12.0,308.0,0.0,100,4585,0,max_generations
j12056_7_operator_comparison_seed42.csv,j12056_7,42,10,two_point,consensus_reorder,310.0,28.0,10.0,320.0,310.0,10.0,310.0,0.0,100,4659,0,max_generations
j12056_7_operator_comparison_seed42.csv,j12056_7,42,11,one_point,consensus_reorder,312.0,30.0,8.0,320.0,312.0,8.0,312.0,0.0,100,4582,0,max_generations
j12056_7_operator_comparison_seed42.csv,j12056_7,42,12,two_point,adjacent_swap,312.0,30.0,8.0,320.0,312.0,8.0,312.0,0.0,100,4584,0,max_generations
j12056_7_operator_comparison_seed42.csv,j12056_7,42,13,one_point,swap,312.0,30.0,8.0,320.0,312.0,8.0,312.0,0.0,100,4590,0,max_generations
j12056_7_operator_comparison_seed42.csv,j12056_7,42,14,two_point,swap,312.0,30.0,8.0,320.0,312.0,8.0,312.0,0.0,100,4596,0,max_generations
j12056_7_operator_comparison_seed42.csv,j12056_7,42,15,two_point,insertion_window,316.0,34.0,4.0,320.0,316.0,4.0,316.0,0.0,100,4593,0,max_generations
j12056_7_operator_comparison_seed42.csv,j12056_7,42,16,one_point,adjacent_swap,316.0,34.0,4.0,320.0,316.0,4.0,316.0,0.0,100,4603,0,max_generations
j12056_9_operator_comparison_seed42.csv,j12056_9,42,1,uniform_order,insertion_window,303.0,16.0,26.0,329.0,303.0,26.0,303.98,0.14,100,4646,0,max_generations
j12056_9_operator_comparison_seed42.csv,j12056_9,42,2,decuple,consensus_reorder,303.0,16.0,26.0,329.0,303.0,26.0,303.0,0.0,100,4650,0,max_generations
j12056_9_operator_comparison_seed42.csv,j12056_9,42,3,decuple,swap,307.0,20.0,22.0,329.0,307.0,22.0,308.9,0.36055512754639896,100,4641,0,max_generations
j12056_9_operator_comparison_seed42.csv,j12056_9,42,4,decuple,insertion_window,308.0,21.0,21.0,329.0,308.0,21.0,308.0,0.0,100,4596,0,max_generations
j12056_9_operator_comparison_seed42.csv,j12056_9,42,5,decuple,adjacent_swap,309.0,22.0,20.0,329.0,309.0,20.0,309.0,0.0,100,4573,0,max_generations
j12056_9_operator_comparison_seed42.csv,j12056_9,42,6,uniform_order,swap,309.0,22.0,20.0,329.0,309.0,20.0,316.18,1.8835073665903195,100,4587,0,max_generations
j12056_9_operator_comparison_seed42.csv,j12056_9,42,7,uniform_order,consensus_reorder,311.0,24.0,18.0,329.0,311.0,18.0,311.68,0.46647615158762407,100,4611,0,max_generations
j12056_9_operator_comparison_seed42.csv,j12056_9,42,8,uniform_order,adjacent_swap,312.0,25.0,17.0,329.0,312.0,17.0,315.74,1.0547037498748169,100,4571,0,max_generations
j12056_9_operator_comparison_seed42.csv,j12056_9,42,9,one_point,insertion_window,316.0,29.0,13.0,329.0,316.0,13.0,316.0,0.0,100,4581,0,max_generations
j12056_9_operator_comparison_seed42.csv,j12056_9,42,10,two_point,insertion_window,316.0,29.0,13.0,329.0,316.0,13.0,316.0,0.0,100,4611,0,max_generations
j12056_9_operator_comparison_seed42.csv,j12056_9,42,11,two_point,consensus_reorder,318.0,31.0,11.0,329.0,318.0,11.0,318.0,0.0,100,4618,0,max_generations
j12056_9_operator_comparison_seed42.csv,j12056_9,42,12,two_point,adjacent_swap,319.0,32.0,10.0,329.0,319.0,10.0,319.0,0.0,100,4584,0,max_generations
j12056_9_operator_comparison_seed42.csv,j12056_9,42,13,two_point,swap,319.0,32.0,10.0,329.0,319.0,10.0,319.0,0.0,100,4596,0,max_generations
